X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
14.052000,0.696678,0.673816,0.679612,0.697322,0.695390,0.671240,0.676714,0.677680,0.757448,0.683032,0.665636,0.734898,0.683676,0.653717,0.664992,0.652428,1.000000,
14.056000,0.695068,0.673172,0.678324,0.695712,0.693458,0.670596,0.674782,0.677036,0.749073,0.682066,0.664992,0.728777,0.682388,0.652428,0.664025,0.650817,1.000000,
14.060000,0.696678,0.674460,0.678968,0.697966,0.696034,0.671562,0.676392,0.678968,0.757126,0.683354,0.665958,0.732965,0.683676,0.654039,0.665636,0.651784,1.000000,
14.064000,0.694102,0.673172,0.678324,0.695712,0.694102,0.670918,0.674460,0.677036,0.749073,0.682066,0.664670,0.728133,0.682710,0.652428,0.664348,0.651462,1.000000,
14.068000,0.697000,0.674782,0.679934,0.697966,0.696356,0.671884,0.676070,0.678646,0.757448,0.683354,0.665636,0.736187,0.683676,0.654683,0.665636,0.651462,1.000000,
14.072000,0.694746,0.672850,0.678002,0.695712,0.693458,0.670274,0.674460,0.677358,0.749395,0.680777,0.664348,0.728133,0.682066,0.653395,0.664348,0.651462,1.000000,
14.076000,0.697000,0.674460,0.679934,0.697644,0.696034,0.671562,0.676070,0.679290,0.757771,0.683354,0.665636,0.735542,0.683676,0.654039,0.665636,0.652428,1.000000,
14.080000,0.694746,0.672850,0.678002,0.695712,0.694102,0.670274,0.675426,0.677036,0.750039,0.681744,0.664348,0.727489,0.682066,0.653717,0.663703,0.649207,1.000000,
14.084000,0.695712,0.674138,0.679290,0.697966,0.695712,0.671240,0.676392,0.679612,0.757771,0.682710,0.665958,0.734898,0.684321,0.655650,0.665636,0.652106,1.000000,
14.088000,0.695068,0.672528,0.678002,0.695712,0.693780,0.670274,0.674782,0.677680,0.750361,0.681744,0.664992,0.729744,0.682066,0.653717,0.664025,0.651462,1.000000,
14.092000,0.697000,0.673816,0.679612,0.697322,0.695068,0.671240,0.676392,0.676070,0.756160,0.682388,0.665958,0.734254,0.683676,0.654683,0.665636,0.652106,1.000000,
14.096000,0.695068,0.671562,0.678324,0.695712,0.693780,0.669630,0.675426,0.677358,0.751005,0.681744,0.664670,0.729744,0.682388,0.653395,0.663059,0.650817,1.000000,
14.100000,0.695712,0.673816,0.679290,0.697322,0.695390,0.671562,0.676070,0.678646,0.755193,0.682710,0.665636,0.735864,0.683354,0.654361,0.665636,0.652428,1.000000,
14.104000,0.694102,0.673172,0.678324,0.696034,0.694102,0.670918,0.674782,0.677036,0.751328,0.681421,0.665636,0.730710,0.682388,0.654039,0.664025,0.651462,1.000000,
14.108000,0.695712,0.673816,0.679290,0.697322,0.695390,0.670918,0.676392,0.678646,0.754549,0.683032,0.665636,0.732321,0.683032,0.654039,0.664670,0.651139,1.000000,
14.112000,0.695390,0.673816,0.678324,0.697644,0.694102,0.671240,0.675426,0.678324,0.752616,0.682388,0.665314,0.730710,0.683032,0.653717,0.664348,0.651139,1.000000,
14.116000,0.695712,0.672528,0.678968,0.697000,0.694746,0.670918,0.675748,0.678002,0.753583,0.682710,0.665636,0.731677,0.683676,0.654683,0.662415,0.652428,1.000000,
14.120000,0.695390,0.673494,0.678646,0.697322,0.694746,0.670918,0.675748,0.678324,0.753905,0.682388,0.664670,0.732643,0.683354,0.654361,0.664348,0.651784,1.000000,
14.124000,0.696034,0.673172,0.678646,0.696356,0.694746,0.670918,0.675426,0.678968,0.752616,0.681421,0.664670,0.730710,0.683354,0.654039,0.664670,0.651462,1.000000,
14.128000,0.695390,0.672850,0.678646,0.697000,0.695068,0.671562,0.675748,0.678002,0.755193,0.682710,0.665314,0.732643,0.683032,0.654361,0.662737,0.652106,1.000000,
14.132000,0.694746,0.673172,0.678002,0.695712,0.694102,0.670596,0.675104,0.677680,0.751650,0.682710,0.664348,0.730710,0.683676,0.653072,0.664348,0.651139,1.000000,
14.136000,0.695712,0.675104,0.679290,0.697966,0.695390,0.671562,0.676070,0.678324,0.755838,0.682710,0.663381,0.733287,0.683354,0.654683,0.665636,0.652750,1.000000,
14.140000,0.694746,0.673172,0.678002,0.696034,0.694424,0.669630,0.675104,0.677680,0.751005,0.682066,0.664670,0.729099,0.682066,0.653395,0.664348,0.652428,1.000000,
