X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.000000,0.694424,0.672206,0.678002,0.696034,0.693458,0.670274,0.674782,0.673816,0.748750,0.682388,0.665314,0.728455,0.681744,0.653395,0.663381,0.651462,0.000000,
0.004000,0.696356,0.677036,0.679612,0.697644,0.695390,0.670596,0.675748,0.678646,0.756482,0.683354,0.665314,0.734576,0.683676,0.654361,0.664992,0.650495,0.000000,
0.008000,0.693780,0.673172,0.678646,0.695712,0.694102,0.670596,0.675104,0.677036,0.749717,0.680777,0.664992,0.728133,0.682066,0.651784,0.664025,0.650495,0.000000,
0.012000,0.696356,0.673816,0.678968,0.697322,0.695712,0.671562,0.676070,0.678324,0.756160,0.683032,0.665636,0.733932,0.683676,0.654683,0.665636,0.652428,0.000000,
0.016000,0.694746,0.672850,0.677036,0.696034,0.693780,0.669952,0.674782,0.676714,0.750683,0.682710,0.664670,0.728133,0.682388,0.653072,0.663703,0.651462,0.000000,
0.020000,0.696034,0.673494,0.678646,0.696356,0.695390,0.671562,0.675748,0.678968,0.755516,0.680777,0.665636,0.733287,0.683032,0.654683,0.665314,0.651784,0.000000,
0.024000,0.694746,0.673172,0.678646,0.696034,0.692814,0.670918,0.675104,0.677036,0.750039,0.681744,0.664992,0.729099,0.682710,0.653395,0.663703,0.651462,0.000000,
0.028000,0.695712,0.672850,0.677036,0.697000,0.694746,0.671240,0.675748,0.678968,0.753905,0.682388,0.665314,0.732321,0.683354,0.654361,0.664992,0.652428,0.000000,
0.032000,0.695068,0.673494,0.678646,0.696034,0.694424,0.670918,0.675426,0.677358,0.751005,0.681744,0.662737,0.730066,0.682388,0.654039,0.665636,0.651139,0.000000,
0.036000,0.695390,0.673816,0.678968,0.697000,0.694746,0.673816,0.675748,0.678002,0.755516,0.682388,0.665314,0.731354,0.683032,0.654039,0.664670,0.651462,0.000000,
0.040000,0.695390,0.674782,0.678646,0.696356,0.694424,0.672528,0.675426,0.677680,0.751005,0.682066,0.664992,0.730388,0.680133,0.654039,0.664670,0.651784,0.000000,
0.044000,0.695068,0.673816,0.678646,0.696356,0.694424,0.670918,0.675748,0.678002,0.751972,0.682388,0.663059,0.731032,0.682710,0.654361,0.664025,0.652106,0.000000,
0.048000,0.695390,0.673494,0.679290,0.697000,0.695390,0.668986,0.675426,0.678324,0.752294,0.682388,0.665314,0.731677,0.682388,0.654039,0.664992,0.651462,0.000000,
0.052000,0.694746,0.673816,0.678968,0.697966,0.694424,0.670274,0.675104,0.677680,0.751005,0.682066,0.664348,0.730388,0.682710,0.654683,0.664025,0.651462,0.000000,
0.056000,0.695712,0.673494,0.678968,0.697000,0.695068,0.671240,0.675748,0.678646,0.754871,0.682388,0.664992,0.733609,0.683354,0.654361,0.665636,0.652428,0.000000,
0.060000,0.694424,0.672850,0.678646,0.695068,0.693458,0.670596,0.676070,0.677680,0.750361,0.683032,0.664670,0.729421,0.682066,0.653395,0.664348,0.651139,0.000000,
