X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.116000,0.698932,0.677036,0.682188,0.702796,0.699254,0.675426,0.675426,0.681544,0.763891,0.687220,0.668213,0.741341,0.686254,0.654683,0.666603,0.654039,0.000000,
0.120000,0.702152,0.678324,0.683798,0.705372,0.701186,0.677358,0.677036,0.681866,0.776455,0.687864,0.672401,0.750039,0.687542,0.655650,0.668213,0.655327,0.000000,
0.124000,0.699898,0.677680,0.682188,0.703118,0.699254,0.676070,0.676392,0.681222,0.763569,0.685931,0.668213,0.740375,0.685931,0.655650,0.666925,0.655972,0.000000,
0.128000,0.701830,0.678968,0.683476,0.705372,0.700864,0.678324,0.677358,0.682510,0.775167,0.688187,0.669180,0.750039,0.687220,0.656616,0.668535,0.655005,0.000000,
0.132000,0.699898,0.677680,0.682188,0.703118,0.699576,0.676714,0.676392,0.680900,0.764214,0.685931,0.668213,0.741019,0.685287,0.655327,0.666603,0.654039,0.000000,
0.136000,0.701186,0.678646,0.682832,0.704728,0.699898,0.677680,0.678646,0.681866,0.775489,0.687864,0.670146,0.751005,0.686898,0.656938,0.668213,0.655327,0.000000,
0.140000,0.700220,0.677036,0.681866,0.703440,0.699576,0.676714,0.676392,0.681544,0.764214,0.686576,0.668535,0.742630,0.685287,0.655005,0.665958,0.654683,0.000000,
0.144000,0.701186,0.678002,0.683154,0.704728,0.700542,0.678002,0.677358,0.681866,0.775167,0.688187,0.668858,0.749717,0.687220,0.656294,0.667891,0.655327,0.000000,
0.148000,0.700542,0.678002,0.682832,0.704406,0.699898,0.677036,0.676714,0.681544,0.765502,0.685931,0.669180,0.741985,0.685609,0.655327,0.666603,0.654361,0.000000,
0.152000,0.699898,0.678002,0.681866,0.704084,0.700220,0.677036,0.677036,0.680900,0.773878,0.687220,0.669502,0.748428,0.687542,0.656294,0.667891,0.656294,0.000000,
0.156000,0.700864,0.678968,0.683154,0.704084,0.699898,0.677036,0.677036,0.681222,0.766469,0.685931,0.668858,0.741341,0.685609,0.655972,0.666603,0.655005,0.000000,
