X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.000000,0.701186,0.678002,0.683476,0.705694,0.699898,0.677358,0.677358,0.682188,0.772589,0.686898,0.669502,0.741985,0.686898,0.656294,0.667247,0.654683,0.000000,
0.004000,0.698932,0.677036,0.681544,0.703118,0.699898,0.676392,0.676714,0.681544,0.770979,0.686898,0.669180,0.740052,0.685609,0.655650,0.666925,0.654683,0.000000,
0.008000,0.702796,0.678002,0.682832,0.703440,0.699254,0.676714,0.677036,0.681866,0.771301,0.687542,0.669180,0.741019,0.686576,0.655650,0.667891,0.655005,0.000000,
0.012000,0.699576,0.677680,0.681866,0.703440,0.698932,0.677036,0.677036,0.681222,0.772589,0.686576,0.668535,0.741985,0.687220,0.655650,0.667247,0.654361,0.000000,
0.016000,0.700220,0.677680,0.681866,0.703762,0.699898,0.677036,0.677036,0.681222,0.769690,0.686898,0.669502,0.740052,0.690442,0.655650,0.667247,0.654683,0.000000,
0.020000,0.699576,0.677680,0.682188,0.703440,0.699576,0.676392,0.676714,0.682188,0.775167,0.687220,0.668858,0.742307,0.686254,0.655650,0.666925,0.655327,0.000000,
0.024000,0.700220,0.677358,0.681866,0.703118,0.698932,0.676392,0.676392,0.681544,0.768724,0.687220,0.668858,0.739730,0.686576,0.655972,0.666603,0.654361,0.000000,
0.028000,0.700220,0.678324,0.682832,0.704406,0.699898,0.676070,0.676714,0.681866,0.776455,0.687864,0.669502,0.743274,0.686898,0.656294,0.668213,0.654683,0.000000,
0.032000,0.700220,0.677036,0.681544,0.703118,0.698932,0.675748,0.676714,0.681222,0.767435,0.686576,0.668535,0.738442,0.685609,0.655650,0.666925,0.654361,0.000000,
0.036000,0.700864,0.678324,0.683154,0.703762,0.699576,0.676714,0.677358,0.682510,0.777422,0.688509,0.669502,0.743918,0.686898,0.656294,0.667247,0.655005,0.000000,
0.040000,0.699576,0.676714,0.681866,0.703440,0.698610,0.676392,0.676392,0.680900,0.766469,0.686254,0.669180,0.737475,0.685931,0.655005,0.666603,0.654683,0.000000,
0.044000,0.701186,0.677680,0.682832,0.704728,0.700220,0.677680,0.677036,0.682510,0.778710,0.687864,0.669502,0.745207,0.686254,0.656294,0.667569,0.655005,0.000000,
0.048000,0.699254,0.676714,0.681544,0.702796,0.697966,0.675426,0.676070,0.680900,0.766146,0.686254,0.668858,0.736831,0.685931,0.654361,0.667247,0.654039,0.000000,
0.052000,0.700864,0.678324,0.683154,0.704728,0.700220,0.677358,0.676714,0.682510,0.778066,0.687542,0.669824,0.744885,0.685609,0.657260,0.667891,0.655005,0.000000,
0.056000,0.699898,0.677036,0.681222,0.702474,0.697966,0.676392,0.676070,0.680900,0.765502,0.686254,0.668535,0.736509,0.686898,0.655327,0.666603,0.654039,0.000000,
0.060000,0.701830,0.677358,0.682832,0.705050,0.700542,0.677358,0.677358,0.682832,0.778710,0.688509,0.670146,0.745851,0.687220,0.656938,0.667891,0.654683,0.000000,
0.064000,0.698932,0.676714,0.681544,0.702796,0.698610,0.676392,0.676714,0.680900,0.765502,0.686254,0.668858,0.736509,0.685609,0.655327,0.666280,0.654361,0.000000,
0.068000,0.701508,0.678324,0.682832,0.704728,0.700542,0.677358,0.677358,0.681866,0.778388,0.688187,0.669824,0.745207,0.687542,0.657582,0.667891,0.654683,0.000000,
0.072000,0.698932,0.676714,0.681222,0.702474,0.697966,0.675426,0.676714,0.681544,0.765502,0.688509,0.668213,0.736509,0.685609,0.654361,0.666280,0.654039,0.000000,
0.076000,0.701186,0.678002,0.682832,0.704406,0.700220,0.677036,0.677358,0.683154,0.777099,0.687864,0.669824,0.745207,0.687542,0.655972,0.667569,0.655005,0.000000,
0.080000,0.698932,0.676714,0.681866,0.702796,0.697966,0.676070,0.676392,0.680578,0.767113,0.686576,0.668858,0.737797,0.685609,0.655327,0.665636,0.653717,0.000000,
0.084000,0.701508,0.678646,0.683476,0.705050,0.700220,0.676714,0.677680,0.682188,0.775489,0.688187,0.670146,0.743918,0.687220,0.655650,0.667891,0.654683,0.000000,
