X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.000000,0.699576,0.677358,0.682188,0.703118,0.698932,0.675748,0.676392,0.680256,0.762603,0.685609,0.669180,0.735864,0.685287,0.655650,0.666603,0.654039,0.000000,
0.004000,0.700542,0.678002,0.681544,0.703118,0.701186,0.676070,0.676070,0.679612,0.764858,0.686898,0.669824,0.737153,0.686576,0.656294,0.667569,0.655005,0.000000,
0.008000,0.700864,0.677680,0.682510,0.704084,0.699254,0.676714,0.676392,0.679934,0.763891,0.686254,0.669180,0.736831,0.687220,0.655972,0.666925,0.654683,0.000000,
0.012000,0.699254,0.676714,0.681544,0.703440,0.698288,0.676392,0.676392,0.679612,0.763891,0.686254,0.670791,0.737797,0.685287,0.656294,0.666280,0.654361,0.000000,
0.016000,0.700864,0.677680,0.682510,0.704084,0.699576,0.676714,0.676714,0.680578,0.765180,0.685931,0.669502,0.737475,0.686254,0.655650,0.665958,0.654361,0.000000,
0.020000,0.699898,0.676392,0.681544,0.703118,0.698610,0.676070,0.676070,0.678646,0.762603,0.686254,0.669824,0.736187,0.685931,0.655327,0.666603,0.655327,0.000000,
0.024000,0.700864,0.677680,0.683476,0.704084,0.699254,0.676714,0.677036,0.680578,0.766791,0.685609,0.670146,0.739086,0.685931,0.656616,0.666603,0.654683,0.000000,
0.028000,0.699898,0.676392,0.681222,0.702152,0.697644,0.675748,0.676070,0.679290,0.760992,0.685609,0.669502,0.735542,0.685931,0.655327,0.666603,0.654361,0.000000,
0.032000,0.701508,0.675748,0.683476,0.704084,0.699898,0.678002,0.676714,0.680578,0.766469,0.685931,0.669502,0.739730,0.687542,0.656294,0.667247,0.655327,0.000000,
0.036000,0.698288,0.676392,0.680900,0.702152,0.697644,0.675426,0.675426,0.678968,0.760992,0.685609,0.669824,0.735864,0.685287,0.655327,0.666603,0.654361,0.000000,
0.040000,0.701186,0.678324,0.682832,0.705050,0.700542,0.676392,0.676714,0.680578,0.768401,0.687542,0.669824,0.740052,0.686898,0.656294,0.667247,0.655005,0.000000,
